"Loc";"Region desde endémica";"Hos";"AÑO";"campaña";"hap_id";"B1";"B1a";"B2";"B3a";"B3b";"B3c";"B4";"B5";"B6";"B7";"B8";"B9a";"B9b";"B9c";"B10a";"B10b";"BE";"B5a"
"P";"núcleo";"M";97;9697;"Aislam";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"A";97;9697;"Aislam";1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"CE";97;9697;700;1;0;1;1;0;0;1;1;1;1;;;;;;;;
"JM";"Norte de endémica";"C";97;9697;712;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"CE";97;9697;686;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"CE";97;9697;688;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";1;1;1701;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1702;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";1;1;1703;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1704;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1709;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1710;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1711;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";1;1;1712;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;62;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;63;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;65;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;67;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;68;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;69;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;70;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;73;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;75;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;78;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0
"RC";"endémica";"M";2;102;81;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;82;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;83;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;84;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;90;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;93;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;21;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;25;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;26;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;28;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;30;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"HR";"sur de endémica";"M";3;203;35;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;40;;;;;;;;;;;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;42;;;;;;;;;;;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;46;;;;;;;;;;;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";2;203;41;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;42;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;43;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;46;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
